Age,Sex,Country,Year,Population,,,,,,,
45905,Female,Belarus,1995,396116,,,,,,,
45905,Female,Belarus,2000,290609,,,,,,,
45905,Female,Belarus,2001,271271,,,,,,,
45905,Female,Belarus,2002,253380,,,,,,,
45905,Female,Belarus,2003,238709,,,,,,,
45905,Female,Belarus,2004,228892,,,,,,,
45905,Female,Belarus,2005,223065,,,,,,,
45905,Female,Belarus,2006,220397,,,,,,,
45905,Female,Belarus,2007,219242,,,,,,,
45905,Female,Belarus,2008,217933,,,,,,,
45905,Female,Belarus,2009,216138,,,,,,,
45905,Female,Belarus,2010,215460,,,,,,,
45905,Female,Belarus,2011,217315,,,,,,,
45905,Female,Belarus,2012,223063,,,,,,,
45905,Female,Belarus,2013,231865,,,,,,,
45905,Female,Belarus,2014,241659,,,,,,,
45905,Female,Belarus,2015,250736,,,,,,,
45905,Female,Belarus,2016,257325,,,,,,,
45905,Female,Belarus,2017,262215,,,,,,,
45905,Female,Belarus,2018,267148,,,,,,,
45905,Female,Belarus,2019,272235,,,,,,,
45905,Female,Belarus,2020,277995,,,,,,,
45905,Female,Belarus,2021,283555,,,,,,,
45905,Female,Belarus,2022,..,,,,,,,
45905,Female,Belarus,2023,..,,,,,,,
45905,Female,Belgium,1980,320251,,,,,,,
45905,Female,Belgium,1990,292484,,,,,,,
45905,Female,Belgium,1995,295985,,,,,,,
45905,Female,Belgium,2000,300932,,,,,,,
45905,Female,Belgium,2001,296456,,,,,,,
45905,Female,Belgium,2002,292680,,,,,,,
45905,Female,Belgium,2003,289624,,,,,,,
45905,Female,Belgium,2004,288379,,,,,,,
45905,Female,Belgium,2005,289057,,,,,,,
45905,Female,Belgium,2006,289717,,,,,,,
45905,Female,Belgium,2007,289206,,,,,,,
45905,Female,Belgium,2008,289015,,,,,,,
45905,Female,Belgium,2009,290476,,,,,,,
45905,Female,Belgium,2010,294199,,,,,,,
45905,Female,Belgium,2011,298950,,,,,,,
45905,Female,Belgium,2012,303977,,,,,,,
45905,Female,Belgium,2013,309874,,,,,,,
45905,Female,Belgium,2014,315514,,,,,,,
45905,Female,Belgium,2015,320952,,,,,,,
45905,Female,Belgium,2016,324743,,,,,,,
45905,Female,Belgium,2017,326242,,,,,,,
45905,Female,Belgium,2018,326232,,,,,,,
45905,Female,Belgium,2019,325087,,,,,,,
45905,Female,Belgium,2020,322572,,,,,,,
45905,Female,Belgium,2021,319019,,,,,,,
45905,Female,Belgium,2022,316847,,,,,,,
45905,Female,Belgium,2023,315074,,,,,,,
45905,Female,Bosnia and Herzegovina,1980,183481,,,,,,,
45905,Female,Bosnia and Herzegovina,1990,169391,,,,,,,
45905,Female,Bosnia and Herzegovina,1995,132000,,,,,,,
45905,Female,Bosnia and Herzegovina,2000,104544,,,,,,,
45905,Female,Bosnia and Herzegovina,2001,104181,,,,,,,
45905,Female,Bosnia and Herzegovina,2002,108329,,,,,,,
45905,Female,Bosnia and Herzegovina,2003,113621,,,,,,,
45905,Female,Bosnia and Herzegovina,2004,117907,,,,,,,
45905,Female,Bosnia and Herzegovina,2005,119664,,,,,,,
45905,Female,Bosnia and Herzegovina,2006,118325,,,,,,,
45905,Female,Bosnia and Herzegovina,2007,114405,,,,,,,
45905,Female,Bosnia and Herzegovina,2008,108796,,,,,,,
45905,Female,Bosnia and Herzegovina,2009,102886,,,,,,,
45905,Female,Bosnia and Herzegovina,2010,112278,,,,,,,
45905,Female,Bosnia and Herzegovina,2011,112179,,,,,,,
45905,Female,Bosnia and Herzegovina,2012,101531,,,,,,,
45905,Female,Bosnia and Herzegovina,2013,86099,,,,,,,
45905,Female,Bosnia and Herzegovina,2014,86273,,,,,,,
45905,Female,Bosnia and Herzegovina,2015,86751,,,,,,,
45905,Female,Bosnia and Herzegovina,2016,86781,,,,,,,
45905,Female,Bosnia and Herzegovina,2017,86331,,,,,,,
45905,Female,Bosnia and Herzegovina,2018,86096,,,,,,,
45905,Female,Bosnia and Herzegovina,2019,81588,,,,,,,
45905,Female,Bosnia and Herzegovina,2020,78561,,,,,,,
45905,Female,Bosnia and Herzegovina,2021,75988,,,,,,,
45905,Female,Bosnia and Herzegovina,2022,..,,,,,,,
45905,Female,Bosnia and Herzegovina,2023,..,,,,,,,
45905,Female,Bulgaria,1980,320913,,,,,,,
45905,Female,Bulgaria,1990,277964,,,,,,,
45905,Female,Bulgaria,1995,255055,,,,,,,
45905,Female,Bulgaria,2000,205063,,,,,,,
45905,Female,Bulgaria,2001,187999,,,,,,,
45905,Female,Bulgaria,2002,171254,,,,,,,
45905,Female,Bulgaria,2003,161352,,,,,,,
45905,Female,Bulgaria,2004,156321,,,,,,,
45905,Female,Bulgaria,2005,155142,,,,,,,
45905,Female,Bulgaria,2006,154194,,,,,,,
45905,Female,Bulgaria,2007,153985,,,,,,,
45905,Female,Bulgaria,2008,155033,,,,,,,
45905,Female,Bulgaria,2009,154728,,,,,,,
45905,Female,Bulgaria,2010,153800,,,,,,,
45905,Female,Bulgaria,2011,154776,,,,,,,
45905,Female,Bulgaria,2012,159008,,,,,,,
45905,Female,Bulgaria,2013,162918,,,,,,,
45905,Female,Bulgaria,2014,165115,,,,,,,
45905,Female,Bulgaria,2015,166780,,,,,,,
45905,Female,Bulgaria,2016,166328,,,,,,,
45905,Female,Bulgaria,2017,163491,,,,,,,
45905,Female,Bulgaria,2018,158786,,,,,,,
45905,Female,Bulgaria,2019,153267,,,,,,,
45905,Female,Bulgaria,2020,149191,,,,,,,
45905,Female,Bulgaria,2021,147841,,,,,,,
45905,Female,Bulgaria,2022,147985,,,,,,,
45905,Female,Bulgaria,2023,148266,,,,,,,
45905,Female,Canada,1980,882093,,,,,,,
45905,Female,Canada,1990,936252,,,,,,,
45905,Female,Canada,1995,971748,,,,,,,
45905,Female,Canada,2000,993742,,,,,,,
45905,Female,Canada,2001,984620,,,,,,,
45905,Female,Canada,2002,969963,,,,,,,
45905,Female,Canada,2003,950572,,,,,,,
45905,Female,Canada,2004,929999,,,,,,,
45905,Female,Canada,2005,910001,,,,,,,
45905,Female,Canada,2006,887847,,,,,,,
45905,Female,Canada,2007,876503,,,,,,,
45905,Female,Canada,2008,870429,,,,,,,
45905,Female,Canada,2009,870876,,,,,,,
45905,Female,Canada,2010,871126,,,,,,,
45905,Female,Canada,2011,882489,,,,,,,
45905,Female,Canada,2012,901853,,,,,,,
45905,Female,Canada,2013,925856,,,,,,,
45905,Female,Canada,2014,945996,,,,,,,
45905,Female,Canada,2015,966354,,,,,,,
45905,Female,Canada,2016,983263,,,,,,,
45905,Female,Canada,2017,991248,,,,,,,
45905,Female,Canada,2018,995151,,,,,,,
45905,Female,Canada,2019,998467,,,,,,,
45905,Female,Canada,2020,999666,,,,,,,
45905,Female,Canada,2021,998349,,,,,,,
45905,Female,Canada,2022,..,,,,,,,
45905,Female,Canada,2023,..,,,,,,,
45905,Female,Croatia,1980,..,,,,,,,
45905,Female,Croatia,1990,..,,,,,,,
45905,Female,Croatia,1995,..,,,,,,,
45905,Female,Croatia,2000,..,,,,,,,
45905,Female,Croatia,2001,116416,,,,,,,
45905,Female,Croatia,2002,117650,,,,,,,
45905,Female,Croatia,2003,118512,,,,,,,
45905,Female,Croatia,2004,117692,,,,,,,
45905,Female,Croatia,2005,115921,,,,,,,
45905,Female,Croatia,2006,112770,,,,,,,
45905,Female,Croatia,2007,108424,,,,,,,
45905,Female,Croatia,2008,104353,,,,,,,
45905,Female,Croatia,2009,101321,,,,,,,
45905,Female,Croatia,2010,99810,,,,,,,
45905,Female,Croatia,2011,99421,,,,,,,
45905,Female,Croatia,2012,99388,,,,,,,
45905,Female,Croatia,2013,99960,,,,,,,
45905,Female,Croatia,2014,101219,,,,,,,
45905,Female,Croatia,2015,101672,,,,,,,
45905,Female,Croatia,2016,100804,,,,,,,
45905,Female,Croatia,2017,99420,,,,,,,
45905,Female,Croatia,2018,97039,,,,,,,
45905,Female,Croatia,2019,93804,,,,,,,
45905,Female,Croatia,2020,90722,,,,,,,
45905,Female,Croatia,2021,88566,,,,,,,
45905,Female,Croatia,2022,87151,,,,,,,
45905,Female,Croatia,2023,86405,,,,,,,
45905,Female,Cyprus,1980,..,,,,,,,
45905,Female,Cyprus,1990,24615,,,,,,,
45905,Female,Cyprus,1995,25881,,,,,,,
45905,Female,Cyprus,2000,26403,,,,,,,
45905,Female,Cyprus,2001,26128,,,,,,,
45905,Female,Cyprus,2002,25657,,,,,,,
45905,Female,Cyprus,2003,24762,,,,,,,
45905,Female,Cyprus,2004,23882,,,,,,,
45905,Female,Cyprus,2005,23093,,,,,,,
45905,Female,Cyprus,2006,22444,,,,,,,
45905,Female,Cyprus,2007,21789,,,,,,,
45905,Female,Cyprus,2008,21335,,,,,,,
45905,Female,Cyprus,2009,21281,,,,,,,
45905,Female,Cyprus,2010,21387,,,,,,,
45905,Female,Cyprus,2011,21630,,,,,,,
45905,Female,Cyprus,2012,21935,,,,,,,
45905,Female,Cyprus,2013,22139,,,,,,,
45905,Female,Cyprus,2014,22326,,,,,,,
45905,Female,Cyprus,2015,22626,,,,,,,
45905,Female,Cyprus,2016,22966,,,,,,,
45905,Female,Cyprus,2017,23250,,,,,,,
45905,Female,Cyprus,2018,23452,,,,,,,
45905,Female,Cyprus,2019,23385,,,,,,,
45905,Female,Cyprus,2020,23145,,,,,,,
45905,Female,Cyprus,2021,23060,,,,,,,
45905,Female,Cyprus,2022,22983,,,,,,,
45905,Female,Cyprus,2023,22817,,,,,,,
45905,Female,Czechia,1980,412452,,,,,,,
45905,Female,Czechia,1990,338111,,,,,,,
45905,Female,Czechia,1995,314659,,,,,,,
45905,Female,Czechia,2000,285532,,,,,,,
45905,Female,Czechia,2001,267969,,,,,,,
45905,Female,Czechia,2002,251407,,,,,,,
45905,Female,Czechia,2003,236571,,,,,,,
45905,Female,Czechia,2004,224809,,,,,,,
45905,Female,Czechia,2005,219058,,,,,,,
45905,Female,Czechia,2006,217772,,,,,,,
45905,Female,Czechia,2007,218927,,,,,,,
45905,Female,Czechia,2008,221158,,,,,,,
45905,Female,Czechia,2009,224650,,,,,,,
45905,Female,Czechia,2010,230115,,,,,,,
45905,Female,Czechia,2011,237641,,,,,,,
45905,Female,Czechia,2012,248208,,,,,,,
45905,Female,Czechia,2013,261537,,,,,,,
45905,Female,Czechia,2014,274560,,,,,,,
45905,Female,Czechia,2015,284669,,,,,,,
45905,Female,Czechia,2016,289186,,,,,,,
45905,Female,Czechia,2017,287590,,,,,,,
45905,Female,Czechia,2018,282325,,,,,,,
45905,Female,Czechia,2019,276831,,,,,,,
45905,Female,Czechia,2020,270881,,,,,,,
45905,Female,Czechia,2021,268358,,,,,,,
45905,Female,Czechia,2022,277180,,,,,,,
45905,Female,Czechia,2023,286809,,,,,,,
45905,Female,Denmark,1980,178129,,,,,,,
45905,Female,Denmark,1990,131502,,,,,,,
45905,Female,Denmark,1995,144897,,,,,,,
45905,Female,Denmark,2000,168018,,,,,,,
45905,Female,Denmark,2001,170244,,,,,,,
45905,Female,Denmark,2002,170885,,,,,,,
45905,Female,Denmark,2003,170340,,,,,,,
45905,Female,Denmark,2004,168775,,,,,,,
45905,Female,Denmark,2005,166708,,,,,,,
45905,Female,Denmark,2006,164956,,,,,,,
45905,Female,Denmark,2007,163201,,,,,,,
45905,Female,Denmark,2008,161980,,,,,,,
45905,Female,Denmark,2009,161415,,,,,,,
45905,Female,Denmark,2010,160687,,,,,,,
45905,Female,Denmark,2011,160285,,,,,,,
45905,Female,Denmark,2012,160622,,,,,,,
45905,Female,Denmark,2013,161168,,,,,,,
45905,Female,Denmark,2014,161283,,,,,,,
45905,Female,Denmark,2015,161428,,,,,,,
45905,Female,Denmark,2016,160834,,,,,,,
45905,Female,Denmark,2017,158478,,,,,,,
45905,Female,Denmark,2018,154865,,,,,,,
45905,Female,Denmark,2019,151107,,,,,,,
45905,Female,Denmark,2020,147977,,,,,,,
45905,Female,Denmark,2021,146560,,,,,,,
45905,Female,Denmark,2022,148017,,,,,,,
45905,Female,Denmark,2023,150319,,,,,,,
45905,Female,Estonia,1980,53785,,,,,,,
45905,Female,Estonia,1990,57948,,,,,,,
45905,Female,Estonia,1995,53512,,,,,,,
45905,Female,Estonia,2000,38335,,,,,,,
45905,Female,Estonia,2001,35645,,,,,,,
45905,Female,Estonia,2002,33400,,,,,,,
45905,Female,Estonia,2003,31630,,,,,,,
45905,Female,Estonia,2004,30605,,,,,,,
45905,Female,Estonia,2005,30055,,,,,,,
45905,Female,Estonia,2006,29730,,,,,,,
45905,Female,Estonia,2007,29775,,,,,,,
45905,Female,Estonia,2008,30300,,,,,,,
45905,Female,Estonia,2009,30975,,,,,,,
45905,Female,Estonia,2010,31630,,,,,,,
45905,Female,Estonia,2011,32431,,,,,,,
45905,Female,Estonia,2012,33547,,,,,,,
45905,Female,Estonia,2013,34772,,,,,,,
45905,Female,Estonia,2014,35823,,,,,,,
45905,Female,Estonia,2015,36761,,,,,,,
45905,Female,Estonia,2016,37349,,,,,,,
45905,Female,Estonia,2017,37174,,,,,,,
45905,Female,Estonia,2018,36569,,,,,,,
45905,Female,Estonia,2019,35866,,,,,,,
45905,Female,Estonia,2020,35192,,,,,,,
45905,Female,Estonia,2021,34783,,,,,,,
45905,Female,Estonia,2022,35495,,,,,,,
45905,Female,Estonia,2023,36526,,,,,,,
45905,Female,Finland,1980,146345,,,,,,,
45905,Female,Finland,1990,159740,,,,,,,
45905,Female,Finland,1995,154074,,,,,,,
45905,Female,Finland,2000,160868,,,,,,,
45905,Female,Finland,2001,158932,,,,,,,
45905,Female,Finland,2002,155987,,,,,,,
45905,Female,Finland,2003,152348,,,,,,,
45905,Female,Finland,2004,148557,,,,,,,
45905,Female,Finland,2005,145122,,,,,,,
45905,Female,Finland,2006,142542,,,,,,,
45905,Female,Finland,2007,140674,,,,,,,
45905,Female,Finland,2008,139943,,,,,,,
45905,Female,Finland,2009,140260,,,,,,,
45905,Female,Finland,2010,140971,,,,,,,
45905,Female,Finland,2011,142458,,,,,,,
45905,Female,Finland,2012,144334,,,,,,,
45905,Female,Finland,2013,146166,,,,,,,
45905,Female,Finland,2014,147957,,,,,,,
45905,Female,Finland,2015,149584,,,,,,,
45905,Female,Finland,2016,150650,,,,,,,
45905,Female,Finland,2017,151354,,,,,,,
45905,Female,Finland,2018,151363,,,,,,,
45905,Female,Finland,2019,150319,,,,,,,
45905,Female,Finland,2020,148324,,,,,,,
45905,Female,Finland,2021,145414,,,,,,,
45905,Female,Finland,2022,141783,,,,,,,
45905,Female,Finland,2023,137883,,,,,,,
45905,Female,France,1980,..,,,,,,,
45905,Female,France,1990,..,,,,,,,
45905,Female,France,1995,1934883,,,,,,,
45905,Female,France,2000,1849058,,,,,,,
45905,Female,France,2001,1841087,,,,,,,
45905,Female,France,2002,1837846,,,,,,,
45905,Female,France,2003,1847743,,,,,,,
45905,Female,France,2004,1870779,,,,,,,
45905,Female,France,2005,1898251,,,,,,,
45905,Female,France,2006,1925438,,,,,,,
45905,Female,France,2007,1946882,,,,,,,
45905,Female,France,2008,1962005,,,,,,,
45905,Female,France,2009,1971061,,,,,,,
45905,Female,France,2010,1971351,,,,,,,
45905,Female,France,2011,1974131,,,,,,,
45905,Female,France,2012,1986180,,,,,,,
45905,Female,France,2013,2009666,,,,,,,
45905,Female,France,2014,2033348,,,,,,,
45905,Female,France,2015,2044933,,,,,,,
45905,Female,France,2016,2046357,,,,,,,
45905,Female,France,2017,2042124,,,,,,,
45905,Female,France,2018,2035568,,,,,,,
45905,Female,France,2019,2023329,,,,,,,
45905,Female,France,2020,2005434,,,,,,,
45905,Female,France,2021,1980450,,,,,,,
45905,Female,France,2022,1949171,,,,,,,
45905,Female,France,2023,1916346,,,,,,,
45905,Female,Georgia,1980,213617,,,,,,,
45905,Female,Georgia,1990,213450,,,,,,,
45905,Female,Georgia,1995,168589,,,,,,,
45905,Female,Georgia,2000,130053,,,,,,,
45905,Female,Georgia,2001,125604,,,,,,,
45905,Female,Georgia,2002,121450,,,,,,,
45905,Female,Georgia,2003,117027,,,,,,,
45905,Female,Georgia,2004,113788,,,,,,,
45905,Female,Georgia,2005,110450,,,,,,,
45905,Female,Georgia,2006,107160,,,,,,,
45905,Female,Georgia,2007,103711,,,,,,,
45905,Female,Georgia,2008,100987,,,,,,,
45905,Female,Georgia,2009,99226,,,,,,,
45905,Female,Georgia,2010,98524,,,,,,,
45905,Female,Georgia,2011,98253,,,,,,,
45905,Female,Georgia,2012,98953,,,,,,,
45905,Female,Georgia,2013,101655,,,,,,,
45905,Female,Georgia,2014,106806,,,,,,,
45905,Female,Georgia,2015,113016,,,,,,,
45905,Female,Georgia,2016,117908,,,,,,,
45905,Female,Georgia,2017,121032,,,,,,,
45905,Female,Georgia,2018,122525,,,,,,,
45905,Female,Georgia,2019,124260,,,,,,,
45905,Female,Georgia,2020,127172,,,,,,,
45905,Female,Georgia,2021,130271,,,,,,,
45905,Female,Georgia,2022,..,,,,,,,
45905,Female,Georgia,2023,..,,,,,,,
45905,Female,Germany,1980,1656057,,,,,,,
45905,Female,Germany,1990,1808991,,,,,,,
45905,Female,Germany,1995,2265980,,,,,,,
45905,Female,Germany,2000,2026924,,,,,,,
45905,Female,Germany,2001,1970078,,,,,,,
45905,Female,Germany,2002,1953083,,,,,,,
45905,Female,Germany,2003,1944821,,,,,,,
45905,Female,Germany,2004,1937327,,,,,,,
45905,Female,Germany,2005,1933996,,,,,,,
45905,Female,Germany,2006,1916653,,,,,,,
45905,Female,Germany,2007,1876310,,,,,,,
45905,Female,Germany,2008,1831170,,,,,,,
45905,Female,Germany,2009,1793920,,,,,,,
45905,Female,Germany,2010,1752869,,,,,,,
45905,Female,Germany,2011,1715331,,,,,,,
45905,Female,Germany,2012,1698944,,,,,,,
45905,Female,Germany,2013,1696919,,,,,,,
45905,Female,Germany,2014,1699097,,,,,,,
45905,Female,Germany,2015,1717819,,,,,,,
45905,Female,Germany,2016,1746430,,,,,,,
45905,Female,Germany,2017,1763767,,,,,,,
45905,Female,Germany,2018,1775430,,,,,,,
45905,Female,Germany,2019,1796095,,,,,,,
45905,Female,Germany,2020,1825762,,,,,,,
45905,Female,Germany,2021,1865456,,,,,,,
45905,Female,Germany,2022,1909520,,,,,,,
45905,Female,Germany,2023,1945210,,,,,,,
45905,Female,Greece,1980,340037,,,,,,,
45905,Female,Greece,1990,328424,,,,,,,
45905,Female,Greece,1995,268632,,,,,,,
45905,Female,Greece,2000,249541,,,,,,,
45905,Female,Greece,2001,259435,,,,,,,
45905,Female,Greece,2002,268604,,,,,,,
45905,Female,Greece,2003,265888,,,,,,,
45905,Female,Greece,2004,264512,,,,,,,
45905,Female,Greece,2005,263497,,,,,,,
45905,Female,Greece,2006,263014,,,,,,,
45905,Female,Greece,2007,262479,,,,,,,
45905,Female,Greece,2008,261978,,,,,,,
45905,Female,Greece,2009,261198,,,,,,,
45905,Female,Greece,2010,260393,,,,,,,
45905,Female,Greece,2011,260773,,,,,,,
45905,Female,Greece,2012,261490,,,,,,,
45905,Female,Greece,2013,263108,,,,,,,
45905,Female,Greece,2014,266348,,,,,,,
45905,Female,Greece,2015,268154,,,,,,,
45905,Female,Greece,2016,267568,,,,,,,
45905,Female,Greece,2017,265510,,,,,,,
45905,Female,Greece,2018,260585,,,,,,,
45905,Female,Greece,2019,252942,,,,,,,
45905,Female,Greece,2020,245910,,,,,,,
45905,Female,Greece,2021,234157,,,,,,,
45905,Female,Greece,2022,223186,,,,,,,
45905,Female,Greece,2023,219443,,,,,,,
45905,Female,Hungary,1980,384916,,,,,,,
45905,Female,Hungary,1990,317112,,,,,,,
45905,Female,Hungary,1995,303808,,,,,,,
45905,Female,Hungary,2000,287856,,,,,,,
45905,Female,Hungary,2001,278939,,,,,,,
45905,Female,Hungary,2002,268600,,,,,,,
45905,Female,Hungary,2003,258753,,,,,,,
45905,Female,Hungary,2004,249581,,,,,,,
45905,Female,Hungary,2005,242166,,,,,,,
45905,Female,Hungary,2006,237495,,,,,,,
45905,Female,Hungary,2007,235419,,,,,,,
45905,Female,Hungary,2008,234648,,,,,,,
45905,Female,Hungary,2009,234431,,,,,,,
45905,Female,Hungary,2010,234363,,,,,,,
45905,Female,Hungary,2011,234399,,,,,,,
45905,Female,Hungary,2012,235172,,,,,,,
45905,Female,Hungary,2013,236629,,,,,,,
45905,Female,Hungary,2014,238042,,,,,,,
45905,Female,Hungary,2015,236479,,,,,,,
45905,Female,Hungary,2016,231096,,,,,,,
45905,Female,Hungary,2017,225661,,,,,,,
45905,Female,Hungary,2018,221236,,,,,,,
45905,Female,Hungary,2019,217996,,,,,,,
45905,Female,Hungary,2020,217567,,,,,,,
45905,Female,Hungary,2021,219613,,,,,,,
45905,Female,Hungary,2022,224446,,,,,,,
45905,Female,Hungary,2023,228439,,,,,,,
45905,Female,Iceland,1980,10175,,,,,,,
45905,Female,Iceland,1990,10365,,,,,,,
45905,Female,Iceland,1995,10392,,,,,,,
45905,Female,Iceland,2000,11080,,,,,,,
45905,Female,Iceland,2001,10978,,,,,,,
45905,Female,Iceland,2002,10888,,,,,,,
45905,Female,Iceland,2003,10687,,,,,,,
45905,Female,Iceland,2004,10517,,,,,,,
45905,Female,Iceland,2005,10510,,,,,,,
45905,Female,Iceland,2006,10517,,,,,,,
45905,Female,Iceland,2007,10510,,,,,,,
45905,Female,Iceland,2008,10558,,,,,,,
45905,Female,Iceland,2009,10558,,,,,,,
45905,Female,Iceland,2010,10472,,,,,,,
45905,Female,Iceland,2011,10445,,,,,,,
45905,Female,Iceland,2012,10566,,,,,,,
45905,Female,Iceland,2013,10784,,,,,,,
45905,Female,Iceland,2014,11034,,,,,,,
45905,Female,Iceland,2015,11245,,,,,,,
45905,Female,Iceland,2016,11402,,,,,,,
45905,Female,Iceland,2017,11522,,,,,,,
45905,Female,Iceland,2018,11577,,,,,,,
45905,Female,Iceland,2019,11482,,,,,,,
45905,Female,Iceland,2020,11298,,,,,,,
45905,Female,Iceland,2021,11151,,,,,,,
45905,Female,Iceland,2022,11054,,,,,,,
45905,Female,Iceland,2023,10883,,,,,,,
45905,Female,Ireland,1980,170560,,,,,,,
45905,Female,Ireland,1990,158811,,,,,,,
45905,Female,Ireland,1995,139449,,,,,,,
45905,Female,Ireland,2000,129614,,,,,,,
45905,Female,Ireland,2001,128455,,,,,,,
45905,Female,Ireland,2002,129199,,,,,,,
45905,Female,Ireland,2003,131607,,,,,,,
45905,Female,Ireland,2004,134331,,,,,,,
45905,Female,Ireland,2005,137501,,,,,,,
45905,Female,Ireland,2006,141751,,,,,,,
45905,Female,Ireland,2007,146445,,,,,,,
45905,Female,Ireland,2008,149903,,,,,,,
45905,Female,Ireland,2009,151360,,,,,,,
45905,Female,Ireland,2010,152090,,,,,,,
45905,Female,Ireland,2011,155321,,,,,,,
45905,Female,Ireland,2012,160062,,,,,,,
45905,Female,Ireland,2013,164056,,,,,,,
45905,Female,Ireland,2014,167947,,,,,,,
45905,Female,Ireland,2015,171476,,,,,,,
45905,Female,Ireland,2016,174794,,,,,,,
45905,Female,Ireland,2017,176138,,,,,,,
45905,Female,Ireland,2018,174903,,,,,,,
45905,Female,Ireland,2019,172777,,,,,,,
45905,Female,Ireland,2020,169719,,,,,,,
45905,Female,Ireland,2021,167499,,,,,,,
45905,Female,Ireland,2022,166962,,,,,,,
45905,Female,Ireland,2023,165950,,,,,,,
45905,Female,Israel,1980,219900,,,,,,,
45905,Female,Israel,1990,235800,,,,,,,
45905,Female,Israel,1995,266000,,,,,,,
45905,Female,Israel,2000,287543,,,,,,,
45905,Female,Israel,2001,293953,,,,,,,
45905,Female,Israel,2002,299584,,,,,,,
45905,Female,Israel,2003,305459,,,,,,,
45905,Female,Israel,2004,312283,,,,,,,
45905,Female,Israel,2005,319383,,,,,,,
45905,Female,Israel,2006,326255,,,,,,,
45905,Female,Israel,2007,332973,,,,,,,
45905,Female,Israel,2008,339973,,,,,,,
45905,Female,Israel,2009,341605,,,,,,,
45905,Female,Israel,2010,346902,,,,,,,
45905,Female,Israel,2011,352220,,,,,,,
45905,Female,Israel,2012,358520,,,,,,,
45905,Female,Israel,2013,364684,,,,,,,
45905,Female,Israel,2014,372375,,,,,,,
45905,Female,Israel,2015,382966,,,,,,,
45905,Female,Israel,2016,393582,,,,,,,
45905,Female,Israel,2017,403440,,,,,,,
45905,Female,Israel,2018,412395,,,,,,,
45905,Female,Israel,2019,419861,,,,,,,
45905,Female,Israel,2020,449749,,,,,,,
45905,Female,Israel,2021,457185,,,,,,,
45905,Female,Israel,2022,..,,,,,,,
45905,Female,Israel,2023,..,,,,,,,
45905,Female,Italy,1980,2113370,,,,,,,
45905,Female,Italy,1990,1470754,,,,,,,
45905,Female,Italy,1995,1309840,,,,,,,
45905,Female,Italy,2000,1327580,,,,,,,
45905,Female,Italy,2001,1309292,,,,,,,
45905,Female,Italy,2002,1292319,,,,,,,
45905,Female,Italy,2003,1284176,,,,,,,
45905,Female,Italy,2004,1288885,,,,,,,
45905,Female,Italy,2005,1302139,,,,,,,
45905,Female,Italy,2006,1315091,,,,,,,
45905,Female,Italy,2007,1328558,,,,,,,
45905,Female,Italy,2008,1344034,,,,,,,
45905,Female,Italy,2009,1356913,,,,,,,
45905,Female,Italy,2010,1362728,,,,,,,
45905,Female,Italy,2011,1364888,,,,,,,
45905,Female,Italy,2012,1370938,,,,,,,
45905,Female,Italy,2013,1377729,,,,,,,
45905,Female,Italy,2014,1378790,,,,,,,
45905,Female,Italy,2015,1374119,,,,,,,
45905,Female,Italy,2016,1363543,,,,,,,
45905,Female,Italy,2017,1346298,,,,,,,
45905,Female,Italy,2018,1321658,,,,,,,
45905,Female,Italy,2019,1291166,,,,,,,
45905,Female,Italy,2020,1263997,,,,,,,
45905,Female,Italy,2021,1239230,,,,,,,
45905,Female,Italy,2022,1211785,,,,,,,
45905,Female,Italy,2023,1183928,,,,,,,
45905,Female,Kazakhstan,1980,..,,,,,,,
45905,Female,Kazakhstan,1990,849880,,,,,,,
45905,Female,Kazakhstan,1995,849411,,,,,,,
45905,Female,Kazakhstan,2000,685296,,,,,,,
45905,Female,Kazakhstan,2001,652975,,,,,,,
45905,Female,Kazakhstan,2002,618396,,,,,,,
45905,Female,Kazakhstan,2003,587996,,,,,,,
45905,Female,Kazakhstan,2004,560104,,,,,,,
45905,Female,Kazakhstan,2005,538202,,,,,,,
45905,Female,Kazakhstan,2006,528505,,,,,,,
45905,Female,Kazakhstan,2007,528625,,,,,,,
45905,Female,Kazakhstan,2008,543881,,,,,,,
45905,Female,Kazakhstan,2009,568683,,,,,,,
45905,Female,Kazakhstan,2010,591740,,,,,,,
45905,Female,Kazakhstan,2011,619146,,,,,,,
45905,Female,Kazakhstan,2012,652458,,,,,,,
45905,Female,Kazakhstan,2013,694071,,,,,,,
45905,Female,Kazakhstan,2014,738305,,,,,,,
45905,Female,Kazakhstan,2015,779831,,,,,,,
45905,Female,Kazakhstan,2016,819710,,,,,,,
45905,Female,Kazakhstan,2017,854168,,,,,,,
45905,Female,Kazakhstan,2018,877799,,,,,,,
45905,Female,Kazakhstan,2019,895317,,,,,,,
45905,Female,Kazakhstan,2020,913058,,,,,,,
45905,Female,Kazakhstan,2021,927107,,,,,,,
45905,Female,Kazakhstan,2022,..,,,,,,,
45905,Female,Kazakhstan,2023,..,,,,,,,
45905,Female,Kyrgyzstan,1980,222555,,,,,,,
45905,Female,Kyrgyzstan,1990,262411,,,,,,,
45905,Female,Kyrgyzstan,1995,278447,,,,,,,
45905,Female,Kyrgyzstan,2000,291824,,,,,,,
45905,Female,Kyrgyzstan,2001,287735,,,,,,,
45905,Female,Kyrgyzstan,2002,280589,,,,,,,
45905,Female,Kyrgyzstan,2003,272588,,,,,,,
